"Notes"	"State"	"State Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Mar., 2021"	"2021/03"	151	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2021"	"2021/04"	151	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2021"	"2021/05"	145	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2021"	"2021/06"	139	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2021"	"2021/07"	127	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2021"	"2021/08"	129	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2021"	"2021/09"	137	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2021"	"2021/10"	122	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2021"	"2021/11"	108	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2021"	"2021/12"	136	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2022"	"2022/01"	108	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2022"	"2022/02"	145	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2022"	"2022/03"	141	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2022"	"2022/04"	128	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2022"	"2022/05"	149	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2022"	"2022/06"	124	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2022"	"2022/07"	167	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2022"	"2022/08"	139	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2022"	"2022/09"	123	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2022"	"2022/10"	151	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2022"	"2022/11"	121	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2022"	"2022/12"	136	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2023 "	"2023/01"	145	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2023 "	"2023/02"	142	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2023 "	"2023/03"	163	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2023 "	"2023/04"	130	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2023 "	"2023/05"	170	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2023 "	"2023/06"	152	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2023 "	"2023/07"	172	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2023 "	"2023/08"	134	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2023 "	"2023/09"	129	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2023 "	"2023/10"	140	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2023 "	"2023/11"	126	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2023 "	"2023/12"	137	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jan., 2018"	"2018/01"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"Mar., 2018"	"2018/03"	10	Not Applicable	Not Applicable
	"Alaska"	"02"	"Apr., 2018"	"2018/04"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"Aug., 2018"	"2018/08"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"Nov., 2018"	"2018/11"	13	Not Applicable	Not Applicable
	"Alaska"	"02"	"Dec., 2018"	"2018/12"	17	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jan., 2019"	"2019/01"	16	Not Applicable	Not Applicable
	"Alaska"	"02"	"Feb., 2019"	"2019/02"	18	Not Applicable	Not Applicable
	"Alaska"	"02"	"Mar., 2019"	"2019/03"	16	Not Applicable	Not Applicable
	"Alaska"	"02"	"May, 2019"	"2019/05"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jun., 2019"	"2019/06"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jul., 2019"	"2019/07"	10	Not Applicable	Not Applicable
	"Alaska"	"02"	"Aug., 2019"	"2019/08"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"Sep., 2019"	"2019/09"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"Oct., 2019"	"2019/10"	16	Not Applicable	Not Applicable
	"Alaska"	"02"	"Dec., 2019"	"2019/12"	10	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jan., 2020"	"2020/01"	18	Not Applicable	Not Applicable
	"Alaska"	"02"	"Feb., 2020"	"2020/02"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"Apr., 2020"	"2020/04"	10	Not Applicable	Not Applicable
	"Alaska"	"02"	"May, 2020"	"2020/05"	24	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jun., 2020"	"2020/06"	16	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jul., 2020"	"2020/07"	17	Not Applicable	Not Applicable
	"Alaska"	"02"	"Aug., 2020"	"2020/08"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"Sep., 2020"	"2020/09"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"Oct., 2020"	"2020/10"	17	Not Applicable	Not Applicable
	"Alaska"	"02"	"Nov., 2020"	"2020/11"	15	Not Applicable	Not Applicable
	"Alaska"	"02"	"Dec., 2020"	"2020/12"	17	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jan., 2021"	"2021/01"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"Feb., 2021"	"2021/02"	19	Not Applicable	Not Applicable
	"Alaska"	"02"	"Mar., 2021"	"2021/03"	26	Not Applicable	Not Applicable
	"Alaska"	"02"	"Apr., 2021"	"2021/04"	20	Not Applicable	Not Applicable
	"Alaska"	"02"	"May, 2021"	"2021/05"	29	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jun., 2021"	"2021/06"	21	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jul., 2021"	"2021/07"	23	Not Applicable	Not Applicable
	"Alaska"	"02"	"Aug., 2021"	"2021/08"	27	Not Applicable	Not Applicable
	"Alaska"	"02"	"Sep., 2021"	"2021/09"	16	Not Applicable	Not Applicable
	"Alaska"	"02"	"Oct., 2021"	"2021/10"	30	Not Applicable	Not Applicable
	"Alaska"	"02"	"Nov., 2021"	"2021/11"	29	Not Applicable	Not Applicable
	"Alaska"	"02"	"Dec., 2021"	"2021/12"	18	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jan., 2022"	"2022/01"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"Feb., 2022"	"2022/02"	20	Not Applicable	Not Applicable
	"Alaska"	"02"	"Mar., 2022"	"2022/03"	28	Not Applicable	Not Applicable
	"Alaska"	"02"	"Apr., 2022"	"2022/04"	17	Not Applicable	Not Applicable
	"Alaska"	"02"	"May, 2022"	"2022/05"	22	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jun., 2022"	"2022/06"	31	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jul., 2022"	"2022/07"	23	Not Applicable	Not Applicable
	"Alaska"	"02"	"Aug., 2022"	"2022/08"	22	Not Applicable	Not Applicable
	"Alaska"	"02"	"Sep., 2022"	"2022/09"	17	Not Applicable	Not Applicable
	"Alaska"	"02"	"Oct., 2022"	"2022/10"	24	Not Applicable	Not Applicable
	"Alaska"	"02"	"Nov., 2022"	"2022/11"	23	Not Applicable	Not Applicable
	"Alaska"	"02"	"Dec., 2022"	"2022/12"	34	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jan., 2023 "	"2023/01"	33	Not Applicable	Not Applicable
	"Alaska"	"02"	"Feb., 2023 "	"2023/02"	27	Not Applicable	Not Applicable
	"Alaska"	"02"	"Mar., 2023 "	"2023/03"	18	Not Applicable	Not Applicable
	"Alaska"	"02"	"Apr., 2023 "	"2023/04"	30	Not Applicable	Not Applicable
	"Alaska"	"02"	"May, 2023 "	"2023/05"	33	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jun., 2023 "	"2023/06"	30	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jul., 2023 "	"2023/07"	20	Not Applicable	Not Applicable
	"Alaska"	"02"	"Aug., 2023 "	"2023/08"	30	Not Applicable	Not Applicable
	"Alaska"	"02"	"Sep., 2023 "	"2023/09"	37	Not Applicable	Not Applicable
	"Alaska"	"02"	"Oct., 2023 "	"2023/10"	27	Not Applicable	Not Applicable
	"Alaska"	"02"	"Nov., 2023 "	"2023/11"	35	Not Applicable	Not Applicable
	"Alaska"	"02"	"Dec., 2023 "	"2023/12"	52	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2018"	"2018/01"	152	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2018"	"2018/02"	110	Not Applicable	Not Applicable
	"Arizona"	"04"	"Mar., 2018"	"2018/03"	161	Not Applicable	Not Applicable
	"Arizona"	"04"	"Apr., 2018"	"2018/04"	129	Not Applicable	Not Applicable
	"Arizona"	"04"	"May, 2018"	"2018/05"	147	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jun., 2018"	"2018/06"	160	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jul., 2018"	"2018/07"	200	Not Applicable	Not Applicable
	"Arizona"	"04"	"Aug., 2018"	"2018/08"	169	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sep., 2018"	"2018/09"	122	Not Applicable	Not Applicable
	"Arizona"	"04"	"Oct., 2018"	"2018/10"	131	Not Applicable	Not Applicable
	"Arizona"	"04"	"Nov., 2018"	"2018/11"	150	Not Applicable	Not Applicable
	"Arizona"	"04"	"Dec., 2018"	"2018/12"	153	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2019"	"2019/01"	147	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2019"	"2019/02"	134	Not Applicable	Not Applicable
	"Arizona"	"04"	"Mar., 2019"	"2019/03"	169	Not Applicable	Not Applicable
	"Arizona"	"04"	"Apr., 2019"	"2019/04"	143	Not Applicable	Not Applicable
	"Arizona"	"04"	"May, 2019"	"2019/05"	158	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jun., 2019"	"2019/06"	147	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jul., 2019"	"2019/07"	228	Not Applicable	Not Applicable
	"Arizona"	"04"	"Aug., 2019"	"2019/08"	181	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sep., 2019"	"2019/09"	184	Not Applicable	Not Applicable
	"Arizona"	"04"	"Oct., 2019"	"2019/10"	188	Not Applicable	Not Applicable
	"Arizona"	"04"	"Nov., 2019"	"2019/11"	161	Not Applicable	Not Applicable
	"Arizona"	"04"	"Dec., 2019"	"2019/12"	176	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2020"	"2020/01"	194	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2020"	"2020/02"	167	Not Applicable	Not Applicable
	"Arizona"	"04"	"Mar., 2020"	"2020/03"	209	Not Applicable	Not Applicable
	"Arizona"	"04"	"Apr., 2020"	"2020/04"	187	Not Applicable	Not Applicable
	"Arizona"	"04"	"May, 2020"	"2020/05"	229	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jun., 2020"	"2020/06"	286	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jul., 2020"	"2020/07"	330	Not Applicable	Not Applicable
	"Arizona"	"04"	"Aug., 2020"	"2020/08"	293	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sep., 2020"	"2020/09"	200	Not Applicable	Not Applicable
	"Arizona"	"04"	"Oct., 2020"	"2020/10"	201	Not Applicable	Not Applicable
	"Arizona"	"04"	"Nov., 2020"	"2020/11"	207	Not Applicable	Not Applicable
	"Arizona"	"04"	"Dec., 2020"	"2020/12"	172	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2021"	"2021/01"	223	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2021"	"2021/02"	195	Not Applicable	Not Applicable
	"Arizona"	"04"	"Mar., 2021"	"2021/03"	224	Not Applicable	Not Applicable
	"Arizona"	"04"	"Apr., 2021"	"2021/04"	212	Not Applicable	Not Applicable
	"Arizona"	"04"	"May, 2021"	"2021/05"	273	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jun., 2021"	"2021/06"	275	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jul., 2021"	"2021/07"	291	Not Applicable	Not Applicable
	"Arizona"	"04"	"Aug., 2021"	"2021/08"	280	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sep., 2021"	"2021/09"	224	Not Applicable	Not Applicable
	"Arizona"	"04"	"Oct., 2021"	"2021/10"	232	Not Applicable	Not Applicable
	"Arizona"	"04"	"Nov., 2021"	"2021/11"	199	Not Applicable	Not Applicable
	"Arizona"	"04"	"Dec., 2021"	"2021/12"	233	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2022"	"2022/01"	214	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2022"	"2022/02"	188	Not Applicable	Not Applicable
	"Arizona"	"04"	"Mar., 2022"	"2022/03"	227	Not Applicable	Not Applicable
	"Arizona"	"04"	"Apr., 2022"	"2022/04"	206	Not Applicable	Not Applicable
	"Arizona"	"04"	"May, 2022"	"2022/05"	214	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jun., 2022"	"2022/06"	257	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jul., 2022"	"2022/07"	368	Not Applicable	Not Applicable
	"Arizona"	"04"	"Aug., 2022"	"2022/08"	239	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sep., 2022"	"2022/09"	230	Not Applicable	Not Applicable
	"Arizona"	"04"	"Oct., 2022"	"2022/10"	219	Not Applicable	Not Applicable
	"Arizona"	"04"	"Nov., 2022"	"2022/11"	208	Not Applicable	Not Applicable
	"Arizona"	"04"	"Dec., 2022"	"2022/12"	229	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2023 "	"2023/01"	224	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2023 "	"2023/02"	196	Not Applicable	Not Applicable
	"Arizona"	"04"	"Mar., 2023 "	"2023/03"	231	Not Applicable	Not Applicable
	"Arizona"	"04"	"Apr., 2023 "	"2023/04"	221	Not Applicable	Not Applicable
	"Arizona"	"04"	"May, 2023 "	"2023/05"	228	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jun., 2023 "	"2023/06"	204	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jul., 2023 "	"2023/07"	382	Not Applicable	Not Applicable
	"Arizona"	"04"	"Aug., 2023 "	"2023/08"	274	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sep., 2023 "	"2023/09"	198	Not Applicable	Not Applicable
	"Arizona"	"04"	"Oct., 2023 "	"2023/10"	204	Not Applicable	Not Applicable
	"Arizona"	"04"	"Nov., 2023 "	"2023/11"	205	Not Applicable	Not Applicable
	"Arizona"	"04"	"Dec., 2023 "	"2023/12"	180	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2018"	"2018/01"	39	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Feb., 2018"	"2018/02"	23	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Mar., 2018"	"2018/03"	51	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Apr., 2018"	"2018/04"	33	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2018"	"2018/05"	59	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2018"	"2018/06"	46	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2018"	"2018/07"	47	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2018"	"2018/08"	50	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2018"	"2018/09"	28	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2018"	"2018/10"	33	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nov., 2018"	"2018/11"	35	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2018"	"2018/12"	31	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2019"	"2019/01"	46	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Feb., 2019"	"2019/02"	32	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Mar., 2019"	"2019/03"	33	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Apr., 2019"	"2019/04"	32	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2019"	"2019/05"	34	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2019"	"2019/06"	30	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2019"	"2019/07"	34	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2019"	"2019/08"	29	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2019"	"2019/09"	29	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2019"	"2019/10"	39	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nov., 2019"	"2019/11"	31	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2019"	"2019/12"	35	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2020"	"2020/01"	51	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Feb., 2020"	"2020/02"	40	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Mar., 2020"	"2020/03"	45	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Apr., 2020"	"2020/04"	53	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2020"	"2020/05"	55	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2020"	"2020/06"	54	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2020"	"2020/07"	57	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2020"	"2020/08"	45	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2020"	"2020/09"	48	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2020"	"2020/10"	43	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nov., 2020"	"2020/11"	48	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2020"	"2020/12"	46	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2021"	"2021/01"	52	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Feb., 2021"	"2021/02"	57	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Mar., 2021"	"2021/03"	68	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Apr., 2021"	"2021/04"	56	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2021"	"2021/05"	64	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2021"	"2021/06"	56	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2021"	"2021/07"	49	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2021"	"2021/08"	62	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2021"	"2021/09"	51	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2021"	"2021/10"	49	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nov., 2021"	"2021/11"	59	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2021"	"2021/12"	61	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2022"	"2022/01"	58	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Feb., 2022"	"2022/02"	55	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Mar., 2022"	"2022/03"	72	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Apr., 2022"	"2022/04"	47	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2022"	"2022/05"	65	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2022"	"2022/06"	45	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2022"	"2022/07"	61	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2022"	"2022/08"	57	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2022"	"2022/09"	35	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2022"	"2022/10"	57	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nov., 2022"	"2022/11"	49	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2022"	"2022/12"	50	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2023 "	"2023/01"	39	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Feb., 2023 "	"2023/02"	49	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Mar., 2023 "	"2023/03"	49	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Apr., 2023 "	"2023/04"	52	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2023 "	"2023/05"	53	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2023 "	"2023/06"	43	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2023 "	"2023/07"	50	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2023 "	"2023/08"	55	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2023 "	"2023/09"	41	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2023 "	"2023/10"	42	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nov., 2023 "	"2023/11"	41	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2023 "	"2023/12"	36	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2018"	"2018/01"	526	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2018"	"2018/02"	439	Not Applicable	Not Applicable
	"California"	"06"	"Mar., 2018"	"2018/03"	477	Not Applicable	Not Applicable
	"California"	"06"	"Apr., 2018"	"2018/04"	452	Not Applicable	Not Applicable
	"California"	"06"	"May, 2018"	"2018/05"	437	Not Applicable	Not Applicable
	"California"	"06"	"Jun., 2018"	"2018/06"	508	Not Applicable	Not Applicable
	"California"	"06"	"Jul., 2018"	"2018/07"	518	Not Applicable	Not Applicable
	"California"	"06"	"Aug., 2018"	"2018/08"	511	Not Applicable	Not Applicable
	"California"	"06"	"Sep., 2018"	"2018/09"	519	Not Applicable	Not Applicable
	"California"	"06"	"Oct., 2018"	"2018/10"	478	Not Applicable	Not Applicable
	"California"	"06"	"Nov., 2018"	"2018/11"	413	Not Applicable	Not Applicable
	"California"	"06"	"Dec., 2018"	"2018/12"	493	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2019"	"2019/01"	533	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2019"	"2019/02"	497	Not Applicable	Not Applicable
	"California"	"06"	"Mar., 2019"	"2019/03"	535	Not Applicable	Not Applicable
	"California"	"06"	"Apr., 2019"	"2019/04"	526	Not Applicable	Not Applicable
	"California"	"06"	"May, 2019"	"2019/05"	557	Not Applicable	Not Applicable
	"California"	"06"	"Jun., 2019"	"2019/06"	590	Not Applicable	Not Applicable
	"California"	"06"	"Jul., 2019"	"2019/07"	569	Not Applicable	Not Applicable
	"California"	"06"	"Aug., 2019"	"2019/08"	613	Not Applicable	Not Applicable
	"California"	"06"	"Sep., 2019"	"2019/09"	553	Not Applicable	Not Applicable
	"California"	"06"	"Oct., 2019"	"2019/10"	538	Not Applicable	Not Applicable
	"California"	"06"	"Nov., 2019"	"2019/11"	587	Not Applicable	Not Applicable
	"California"	"06"	"Dec., 2019"	"2019/12"	570	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2020"	"2020/01"	647	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2020"	"2020/02"	627	Not Applicable	Not Applicable
	"California"	"06"	"Mar., 2020"	"2020/03"	694	Not Applicable	Not Applicable
	"California"	"06"	"Apr., 2020"	"2020/04"	761	Not Applicable	Not Applicable
	"California"	"06"	"May, 2020"	"2020/05"	797	Not Applicable	Not Applicable
	"California"	"06"	"Jun., 2020"	"2020/06"	808	Not Applicable	Not Applicable
